n_faults,slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
4,5.0,no_mitigation,2,94091,17.082175493240356,141029,0.023308534769866354,0.018270494586033692,0.03582236933460337,0.18485470160687903,0.23417821555204582,0.2984696892231824,10.117662701270573,2564.163636363636,2484.2,0.03118507541002205,0,0.031170893929617312
4,5.0,no_mitigation,1,90457,17.342684507369995,141197,0.023597117342156766,0.018449832536646227,0.03610830525748833,0.1875910998603992,0.23580503213693785,0.293424599402595,10.16763157539744,2567.2181818181816,2487.2363636363634,0.031155052869395242,0,0.031140888262498494
4,5.0,no_mitigation,6,26744,17.194010019302368,141133,0.02333751119607882,0.018273852866016682,0.035761678134355164,0.18593760771748177,0.23462443154056314,0.28661272949126726,10.175063194432532,2566.0545454545454,2486.0545454545454,0.031176266358682946,0,0.031155009813438387
4,5.0,no_mitigation,7,28506,16.897971868515015,141189,0.023529853717091934,0.018390658032863882,0.03614464946945617,0.18668508366024525,0.235584625952012,0.2816163974450987,10.151082322701084,2567.072727272727,2486.909090909091,0.031227645213154,0,0.031163900870464414
4,5.0,no_mitigation,8,92813,16.949129104614258,140910,0.023405904235719175,0.018310791181363584,0.03612151042235753,0.1866486233859471,0.23559624808926438,0.2935096563655293,10.193367481352468,2562.0,2482.090909090909,0.03119012135405578,0,0.03120431481087219
4,5.0,no_mitigation,9,62437,17.059424877166748,140864,0.023350414036160037,0.01825179442062108,0.03610127391302306,0.18639785255384714,0.23619603079257734,0.301137926624353,10.212576816187058,2561.163636363636,2481.1454545454544,0.031242900954111766,0,0.031214504770558836
4,5.0,fixed_speculation,0,86905,17.110903024673462,140854,0.01929756455017432,0.018523764605379966,0.031591203000639646,0.03818357202439071,0.09396417553145713,0.26486165464752,2.061328938141485,2560.981818181818,2558.2,0.0010862311329461712,0,0.00106493248328056
4,5.0,fixed_speculation,2,52974,17.108438730239868,141161,0.019395018298557474,0.01863343139990903,0.03190907781545249,0.03830619008749067,0.0492283447811844,0.24007894001186791,2.05577755730368,2566.5636363636363,2564.3818181818183,0.000850093156041683,0,0.0007792520597048759
4,5.0,fixed_speculation,7,18559,16.883862018585205,140080,0.018850770634033703,0.01818400161972633,0.030406228504174116,0.037679667671608366,0.048665298815997175,0.24165876229644745,2.072132881396842,2546.909090909091,2544.6181818181817,0.0008994860079954312,0,0.0008709308966304969
4,5.0,fixed_speculation,5,47510,17.184218883514404,140740,0.019096720568617415,0.01842029320055838,0.030958234776315985,0.037694338811957454,0.04785944603494471,0.21252121108979782,2.0463484702195083,2558.909090909091,2556.690909090909,0.0008668466676140401,0,0.0008455307659513998
4,5.0,fixed_speculation,8,79866,16.994620084762573,141430,0.01945188177534845,0.01867564322073534,0.03183646032553609,0.038190789541313275,0.04814267158987501,0.2713859818420854,2.044951763637812,2571.4545454545455,2569.2909090909093,0.0008414056423672488,0,0.0008626175493176837
4,5.0,fixed_speculation,1,11520,17.59437131881714,141270,0.019464874703692014,0.01869850585988786,0.031823511848472916,0.03802526593412057,0.04805738154328076,0.26269740525730256,2.0335991666421105,2568.5454545454545,2566.3636363636365,0.0008494372478233171,0,0.0008706731790188999
